Word,POS Tag
mental,JJ
health,NN
rumah,NN
insight,NN
praktekan,NN
persatu,NN
menjaga,NN
kesehatan,NNP
mentalku,NN
pekerja,NN
kedepannya,NN
download,NN
mencoba,NN
konsultasi,NN
tp,NN
jaringan,NN
menyambungkan,JJ
sinyal,JJ
full,JJ
menuli,NN
pesan,JJ
tp,NN
nggk,NN
respon,NN
dokternya,JJ
auto,NN
uninstal,JJ
mitra,JJ
dokter,NN
konsultasi,NN
syaratnya,NN
tk,NN
aplikasinya,RB
muter,NN
mulu,NN
hp,NN
keren,NNS
responya,NN
cepat,NN
dokternya,NN
ramah,NN
penyampaiannya,NN
membantu,NN
trimakasih,NN
dok,NN
udah,JJ
download,NN
cr,NN
menu,NN
belanja,NN
obat,NN
ga,NN
pdhl,NN
keterangan,NN
nya,JJ
auto,NN
uninstal,JJ
bagu,NN
dokternya,NN
ramah,NN
mendownload,NN
resep,NN
aplikasinya,NN
load,NN
muter,NN
aja,NN
bagu,NN
pua,NN
pelayanan,NN
dokter,NN
nyadan,JJ
rama,NN
dokter,NN
soni,FW
hartono,NN
nya,NN
aplikasinya,NN
bagu,NN
bermanfaat,NN
pakainya,NN
mudah,NN
gak,NN
ribet,NN
wajib,NN
download,NN
mudah,NN
bener,NN
free,JJ
x,NN
nya,NN
kesan,JJ
nilai,JJ
aplikasinya,NN
bagu,NN
dokter,NN
saran,VBD
masukan,JJ
positif,NN
terima,NN
kasih,NN
yesdok,NN
bermanfaat,NN
terimakasih,NN
ye,NN
dok,NN
konsultasi,NN
gerati,NN
dokter,NN
nya,NN
ramah,NN
konsultasi,NN
dokter,NN
oke,VBD
pemesanan,JJ
obat,NN
k,NN
area,NN
tercov,NN
padhal,JJ
diarea,NN
sidoarjo,NN
surabaya,NN
tau,NN
transaksi,NN
selesai,NN
kecewa,NN
bermanfaat,NN
aplikasinya,NN
ok,RB
good,JJ
terimakasih,NN
ya,NN
ga,NN
jl,NN
dokter,NN
mata,NN
uda,JJ
nungguin,JJ
tiba,NN
cancel,NN
dokter,NN
menghubungi,NN
telek,NN
bener,NN
uang,JJ
dipotong,JJ
rb,NN
uda,JJ
x,NNP
jdi,NN
rb,NN
aplikasi,NN
pantengin,NN
biar,NN
ga,NN
meleset,NN
terimakasih,NN
yesdok,NN
aplikasi,NN
buka,NN
suruh,NN
perbarui,NN
gk,NN
great,JJ
app,NN
bermanfaat,NN
memuaskan,NN
terbaik,NN
bayar,NN
rb,NN
tambahkan,NN
kartu,NN
kredit,NN
rb,NN
gila,NN
pemerasan,JJ
kela,NN
kakap,NN
halo,NN
doktet,NN
nama,NN
i,NN
nyoman,VBP
sunada,NN
mencobanya,NN
harap,NN
membantu,NN
mudah,NN
kaiau,NN
mengikuti,NN
ye,NN
dok,NN
faham,NN
mohon,NN
d,NN
iberi,NN
tau,NN
sayangnya,NN
gak,NN
dokter,NN
spesiali,NN
saraf,NN
aplikasi,NN
membantu,NN
pa,NN
lg,NN
isoman,NN
sayang,VBD
rekanan,JJ
apotiknya,NN
k,NN
sangat,VBD
buruk,JJ
pengiriman,NN
obat,NN
sekalinya,NN
dikirim,JJ
obatnya,NN
ga,NN
sesuai,NN
pesanan,NN
pesan,JJ
botol,NN
dikirim,JJ
botol,NN
udh,JJ
komplain,NN
chat,WP
k,VBZ
balasan,JJ
dana,NN
dikembalikan,NN
saran,VBD
yesdok,RB
apotik,JJ
biar,JJ
ketersediaan,NN
pelayanan,NN
cepat,NN
custom,NN
cepat,NN
obatnya,NN
terimakasih,NN
membantu,NN
asslamualikun,NN
ye,NN
dokter,NN
surat,NN
keterangan,JJ
kesehatan,JJ
dr,NN
spesiali,NN
kejiwaan,NN
pengembangan,JJ
broh,JJ
tinggal,JJ
bekasi,NN
bekasi,NN
apotek,NN
k,NN
ko,NNP
pengiriman,NN
obatnya,NN
apotek,NN
k,NN
semarang,VBD
aja,NN
gila,NN
beli,NN
obat,NN
tebu,NN
resep,NN
smpe,NN
dr,NN
tgl,NN
smpai,NN
skrg,NN
blm,NN
dikrim,JJ
jg,NN
obt,NN
ny,JJ
mati,NN
orang,NN
udah,JJ
butuh,NN
obat,NN
bgd,NN
suka,NN
yesdok,NN
bagu,NN
gampai,NN
pakainya,NN
x,JJ
coba,NN
isoman,JJ
alhamdulillah,NN
terbantu,NN
terimakasih,NN
dokter,NN
ye,NN
dok,NN
alhamdulillah,NN
konsultasi,NN
akibat,NN
naafa,NN
enggap,VBD
an,DT
suruh,NN
cek,NN
rsud,NN
naafa,IN
normal,JJ
terimakasih,JJ
sarannya,NN
dok,NN
semoga,NN
dokter,NN
sehat,WP
umur,JJ
aplikasi,NN
membantu,NN
min,NN
tolong,JJ
menit,NN
doang,NN
tambahin,IN
tidal,JJ
mnt,NN
kek,NN
bermanfaat,NN
murah,NN
meriah,NN
daftar,NN
asuransi,RB
great,JJ
eastern,JJ
gagal,NN
ya,NN
muncul,NN
pesan,JJ
error,NN
pengguna,NN
temukan,NN
ok,NN
foto,NN
ktp,NN
pp,NN
ga,NN
muncul,NN
aplikasi,NN
membatu,NN
sdang,NN
alami,NN
konsul,NN
lancar,NN
konsul,NN
koneksi,NN
terputu,NN
dokter,NN
dana,NN
dikembalikan,NN
kudu,NN
nunggu,NN
dipotong,JJ
admin,NN
rb,NN
kena,NN
biaya,NN
admin,NN
oke,VBD
fine,JJ
besoknya,NN
konsul,NN
dibilang,NN
gag,NN
angkat,NN
telpon,NN
jela,NN
ditelpon,NN
dah,NN
nungguin,JJ
menit,NN
tru,NN
tau,NN
lngsung,NN
dibilang,NN
dokter,NN
gagal,JJ
telpon,NN
wtf,NN
tau,NN
dipotong,JJ
dah,NN
tuh,NN
duid,NN
pendaftaran,NN
jd,NN
yaaa,NN
bener,NN
ajalah,IN
cari,NN
duit,NN
aplikasi,NN
ye,NN
dok,NN
membantu,NN
berkonsultasi,NN
rumah,NN
mengecewakan,NN
bermanfaat,NN
apalgi,NN
pandemi,NN
berobat,NN
alhamdulillah,NN
terbantu,NN
aplikasi,NN
udah,JJ
dapet,NN
free,JJ
konsultasi,NN
apresiasi,NN
ultah,JJ
yesdok,NN
seneng,NN
gent,NN
butuh,NN
konsultasi,NN
dokter,NN
yesdok,NN
terbaik,NN
semoga,NN
suks,NN
semoga,NN
depannya,NN
terima,NN
kasih,NN
yesdok,NN
nyesel,JJ
download,NN
ye,NN
dok,NN
registnya,NN
rumit,NN
ktp,VBD
pa,JJ
scan,JJ
ga,NN
detect,NN
prose,JJ
log,NN
in,IN
mudah,NN
konsultasi,NN
ahlinya,NN
langsung,NN
sayang,VBD
konsultasi,JJ
berbayar,NN
aplikasi,IN
seser,NN
updat,JJ
hasil,NN
maksim,NN
keyamanan,NN
pelanggan,JJ
yesdok,RB
menggantikan,JJ
jasa,NN
dokter,NN
konvension,NN
tarifnya,NN
terjangkau,NN
yesdok,NN
pilihan,NN
terjangkau,NN
rekomendasi,NN
obat,NN
informasi,NN
seputar,NN
kesehatan,NN
aplikasi,NN
ye,NN
dok,NN
mempermudah,NN
pengguna,NN
konsultasi,NN
dokter,NN
rumah,NN
harganya,NN
terjangkau,NN
enaknya,NN
aplikasi,NN
ye,NN
dok,NN
login,NN
ye,NN
dok,NN
mempersulit,NN
login,NN
nya,JJ
rumit,NN
yesdok,RB
login,JJ
mudah,NN
bi,NN
email,NN
melalu,NN
facebook,NN
aplikasi,NN
yesdok,NN
lemot,NN
kali,NN
buka,NN
aplikasi,NN
yesdok,NN
updat,JJ
lagii,NN
didalam,NN
aplikasi,NN
yesdok,NN
fiturnya,NN
pengguna,NN
kebingungan,VBD
aplikasi,JJ
didalamnya,NN
lumayan,NN
lengkap,NN
aplikasi,NN
membantu,NN
memudahkan,NN
mengontrol,NN
kesehatan,VBZ
pandemi,JJ
dimana,NN
orangorang,NN
takut,NN
rumah,NN
aplikasi,NN
berisi,NN
fitur,NN
lengkap,NN
informatif,NN
ketersediaan,NN
dokter,NN
spesiali,NN
penyakit,NN
aplikasi,NN
mudah,NN
diaks,NNS
lancar,NN
aplikasi,NN
ye,NN
dok,NN
menang,NN
mempermudah,NN
berkonsultasi,NN
dokter,NN
rumah,NN
tarifnya,NN
terjangkau,NN
yesdok,NN
pilihan,NN
berkonsultasi,NN
login,NN
masuk,NN
daftar,NN
aplikasi,NN
yesdok,NN
rumit,NN
lemot,NN
berbyr,NN
lumyn,NN
keren,NNS
tau,VBP
penyakit,NN
cepat,NN
aplikasi,NN
bermanfaat,NN
era,NN
pandemik,NN
konsultasi,VBP
dokter,NN
bertemu,NN
dokterdokt,NN
ramah,NN
bagu,NN
skali,NN
membantu,NN
applikasi,NN
bermanfaat,NN
bermanfaat,NN
bagu,NN
vidio,NN
call,NN
dokternya,NN
nasihat,IN
rekomendasi,JJ
obat,NN
dokter,NN
terima,NN
kasih,NN
sayang,NN
dr,NN
spesiali,NN
anak,NN
mengesalkan,JJ
sakit,NN
butuh,NN
obat,NN
rumah,NN
konsultasi,VBD
rekomendasi,JJ
obat,NN
dr,NN
dokter,NN
obat,NN
tdk,JJ
tersedia,NN
apotek,NN
k,NN
disarankan,JJ
keapotik,NN
terdekat,NN
menunggu,NN
jam,NN
tersedia,NN
order,NN
utk,JJ
pilihan,NN
pengiriman,NN
hy,NN
durasi,NN
hr,NN
dipilihpadah,NN
dikota,NN
medan,NN
byk,NN
apotik,NN
k,NN
kantor,NN
utk,JJ
order,NN
obat,NN
langsung,NN
k,NN
order,NN
disana,NN
jg,NN
hr,NN
pilih,NN
durasi,NN
pengiriman,JJ
tersedia,NN
hy,NN
pengiriman,NN
hrkecewa,NN
membantu,NN
disaat,NN
tifak,NN
kemana,NNP
pandemi,NN
terimaksih,NN
x,NN
aplikasi,NN
in,IN
sngat,JJ
membantu,NN
gk,NN
prlu,NN
